lake_id,period,region,dominant_landcover,nof_lake_type,lake_perimeter,lake_depth,lake_area,lake_number,lake_name,east_nzmg,north_nzmg,median_NH4N_mg/L^-1,band_classification_NH4N,exceeding_national_bottom_line_NH4N1.3,median_CHLA_mg/m^3,band_classification_CHLA,exceeding_national_bottom_line_CHLA12,median_SECCHI_metre,median_TN_mg/m^3,band_classification_TN,national_bottom_line_TN,exceeding_national_bottom_line_TN,median_TP_mg/m^3,band_classification_TP,exceeding_national_bottom_line_TP50,median_TLI3,band_classification_TLI3
1,2013-2017,Wellington,Pastoral,Stratified,13414.77,80.98,6220000,,,2688138,5978477,0.011138,A,FALSE,15.30963,D,TRUE,0.849803,546.2334,C,750,FALSE,38.74625,C,FALSE,4.605688,Eutrophic (poor)
3,2013-2017,Wellington,Pastoral,Stratified,1919.33,28.07,108216.6,,,2665360,5981216,0.009104,A,FALSE,15.67981,D,TRUE,1.540899,542.6925,C,750,FALSE,34.61909,C,FALSE,4.371283,Eutrophic (poor)
4,2013-2017,Wellington,Native,Stratified,3708.97,40.19,213142.3,,,2666134,5980426,0.012041,A,FALSE,17.32152,D,TRUE,1.557685,639.6181,C,750,FALSE,39.70752,C,FALSE,4.512114,Eutrophic (poor)
6,2013-2017,Wellington,Native,Stratified,1033.59,20.03,30714.38,,,2656050,5988273,0.007468,A,FALSE,8.781521,C,FALSE,1.977575,544.1602,C,750,FALSE,19.74125,B,FALSE,4.152746,Eutrophic (poor)
7,2013-2017,Wellington,Native,Stratified,886.02,18.42,22216.44,,,2656693,5988993,0.006989,A,FALSE,9.748702,C,FALSE,1.935832,556.8653,C,750,FALSE,20.23806,C,FALSE,4.209487,Eutrophic (poor)
8,2013-2017,Wellington,Native,Stratified,800.74,17.43,16892.81,,,2667005,5981707,0.008938,A,FALSE,13.2382,D,TRUE,1.333841,631.506,C,750,FALSE,39.3786,C,FALSE,4.426033,Eutrophic (poor)
47,2013-2017,Wellington,Urban area,Polymictic,594.78,14.82,16062.06,,,2668854,6008227,0.007502,A,FALSE,11.9115,C,FALSE,2.181143,563.3127,C,800,FALSE,23.07423,C,FALSE,4.325234,Eutrophic (poor)
70,2013-2017,Wellington,Pastoral,Polymictic,440.75,12.59,11181.63,,,2712318,5957213,0.010062,A,FALSE,6.761417,C,FALSE,2.819686,544.9917,C,800,FALSE,21.3855,C,FALSE,4.059783,Eutrophic (poor)
113,2013-2017,Wellington,Pastoral,Stratified,1287.83,22.58,41907.81,,,2685843,5978396,0.012447,A,FALSE,4.416318,B,FALSE,1.599641,629.4571,C,750,FALSE,19.10927,B,FALSE,4.070508,Eutrophic (poor)
119,2013-2017,Wellington,Native,Stratified,5429.91,49.47,418773.6,,,2687958,5980479,0.036235,B,FALSE,5.202208,C,FALSE,1.488474,756.287,D,750,TRUE,20.72016,C,FALSE,4.217375,Eutrophic (poor)
195,2013-2017,Wellington,Pastoral,Stratified,857.95,18.1,30970.06,,,2692890,5981151,0.023051,A,FALSE,8.311377,C,FALSE,1.752121,758.8014,D,750,TRUE,22.23886,C,FALSE,4.326846,Eutrophic (poor)
229,2013-2017,Wellington,Native,Stratified,3857.81,41.06,459533.9,,,2686803,5982547,0.011076,A,FALSE,17.50545,D,TRUE,1.473409,685.6338,C,750,FALSE,42.30029,C,FALSE,4.596228,Eutrophic (poor)
298,2013-2017,Wellington,Native,Polymictic,574.44,14.54,19484.06,,,2704483,6000167,0.031417,B,FALSE,5.177671,C,FALSE,1.356116,985.0478,D,800,TRUE,20.28792,C,FALSE,4.287466,Eutrophic (poor)
299,2013-2017,Wellington,Native,Stratified,1657.32,25.91,91651.19,,,2704765,6000976,0.031077,B,FALSE,5.20458,C,FALSE,1.356116,1017.431,D,750,TRUE,20.1942,C,FALSE,4.336705,Eutrophic (poor)
300,2013-2017,Wellington,Native,Stratified,1431.38,23.92,65783.69,,,2704506,6001375,0.031031,B,FALSE,5.228321,C,FALSE,1.356116,1003.545,D,750,TRUE,20.40384,C,FALSE,4.313959,Eutrophic (poor)
301,2013-2017,Wellington,Pastoral,Stratified,1373.4,23.39,105858.3,,,2704121,6001725,0.030951,B,FALSE,5.287265,C,FALSE,1.170047,1038.132,D,750,TRUE,29.73333,C,FALSE,4.340516,Eutrophic (poor)
325,2013-2017,Wellington,Pastoral,Stratified,1484.68,24.4,27580.44,,,2713588,5998742,0.029287,A,FALSE,4.652918,B,FALSE,1.731894,956.5795,D,750,TRUE,20.75723,C,FALSE,4.340219,Eutrophic (poor)
332,2013-2017,Wellington,Pastoral,Polymictic,555.46,14.28,15079.06,,,2763421,6002579,0.013879,A,FALSE,5.147417,C,FALSE,1.575016,716.6029,C,800,FALSE,17.86182,B,FALSE,4.150123,Eutrophic (poor)
337,2013-2017,Wellington,Pastoral,Stratified,611.98,15.06,10177.06,,,2763907,6004855,0.013882,A,FALSE,5.236355,C,FALSE,1.777831,740.9801,C,750,FALSE,19.02922,B,FALSE,4.151397,Eutrophic (poor)
338,2013-2017,Wellington,Pastoral,Stratified,926.05,18.87,16208.31,,,2764119,6004933,0.013775,A,FALSE,5.691283,C,FALSE,1.799771,735.0484,C,750,FALSE,19.59287,B,FALSE,4.189703,Eutrophic (poor)
345,2013-2017,Wellington,Pastoral,Stratified,817.65,17.63,26899.69,,,2766918,6004969,0.014317,A,FALSE,4.157684,B,FALSE,1.615786,661.9268,C,750,FALSE,18.58292,B,FALSE,4.087907,Eutrophic (poor)
349,2013-2017,Wellington,Pastoral,Stratified,787.52,17.27,23518.5,,,2749018,6008391,0.009795,A,FALSE,6.161522,C,FALSE,2.680275,572.4352,C,750,FALSE,23.6653,C,FALSE,4.38168,Eutrophic (poor)
352,2013-2017,Wellington,Pastoral,Polymictic,554.65,14.27,15187.69,,,2750087,6009198,0.00891,A,FALSE,6.075522,C,FALSE,2.821565,512.0993,C,800,FALSE,23.5239,C,FALSE,4.289952,Eutrophic (poor)
380,2013-2017,Wellington,Urban area,Polymictic,607.26,14.99,26042.31,,,2734642,6025172,0.021476,A,FALSE,6.755165,C,FALSE,4.288688,665.7909,C,800,FALSE,24.14782,C,FALSE,4.373313,Eutrophic (poor)
381,2013-2017,Wellington,Urban area,Stratified,1551.19,24.99,122646.9,,,2735734,6025004,0.012231,A,FALSE,8.236822,C,FALSE,4.046563,701.5644,C,750,FALSE,31.17844,C,FALSE,4.424531,Eutrophic (poor)
402,2013-2017,Wellington,Pastoral,Polymictic,532.14,13.95,11491.94,,,2743342,6024906,0.010954,A,FALSE,5.561295,C,FALSE,3.773993,472.2413,B,800,FALSE,22.36907,C,FALSE,4.170131,Eutrophic (poor)
465,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,1638.42,25.75,16948.06,,,2708957,6074629,0.015706,A,FALSE,11.76178,C,FALSE,1.218758,794.1782,D,750,TRUE,59.54333,D,TRUE,4.901469,Eutrophic (poor)
468,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,959.1,19.23,12283.56,,,2709639,6074744,0.035477,B,FALSE,4.373949,B,FALSE,0.744935,1133.26,D,750,TRUE,21.31837,C,FALSE,4.649177,Eutrophic (poor)
476,2013-2017,Manawatū-Whanganui,Native,Stratified,2842.69,34.77,95363.06,,,2720040,6065770,0.005765,A,FALSE,3.129133,B,FALSE,4.432928,360.3071,C,750,FALSE,17.37847,B,FALSE,3.734982,Mesotrophic (average)
477,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,1075.87,20.48,26716.06,,,2713109,6072344,0.034652,B,FALSE,4.221873,B,FALSE,1.70452,1108.867,D,750,TRUE,20.19439,C,FALSE,4.550338,Eutrophic (poor)
484,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,981.67,19.48,11477.13,,,2714020,6074347,0.035066,B,FALSE,4.130563,B,FALSE,1.715373,1115.014,D,750,TRUE,19.49793,B,FALSE,4.552324,Eutrophic (poor)
491,2013-2017,Manawatū-Whanganui,Pastoral,Polymictic,554.19,14.26,10260.25,,,2719848,6073278,0.026802,A,FALSE,8.058063,C,FALSE,1.784344,856.868,D,800,TRUE,22.92035,C,FALSE,4.486884,Eutrophic (poor)
501,2013-2017,Wellington,Pastoral,Polymictic,473.37,13.09,11120.5,,,2693367,5987979,0.031488,B,FALSE,4.538304,B,FALSE,1.410259,837.9931,D,800,TRUE,17.95754,B,FALSE,4.178893,Eutrophic (poor)
505,2013-2017,Wellington,Pastoral,Stratified,2277.13,30.81,69852.75,,,2699688,5990722,0.018339,A,FALSE,5.217548,C,FALSE,1.460139,916.104,D,750,TRUE,28.44599,C,FALSE,4.230573,Eutrophic (poor)
506,2013-2017,Wellington,Exotic forest,Stratified,1310.04,22.79,32199.06,,,2699628,5990941,0.030539,B,FALSE,4.86004,B,FALSE,1.460139,898.4739,D,750,TRUE,19.03704,B,FALSE,4.251581,Eutrophic (poor)
507,2013-2017,Wellington,Pastoral,Stratified,1741.11,26.62,106969.8,,,2698929,5991182,0.031906,B,FALSE,5.129285,C,FALSE,1.453077,945.1029,D,750,TRUE,19.99125,B,FALSE,4.319384,Eutrophic (poor)
508,2013-2017,Wellington,Exotic forest,Polymictic,523.67,13.83,12403.94,,,2699353,5991457,0.030906,B,FALSE,5.144432,C,FALSE,1.45494,901.1686,D,800,TRUE,19.90454,B,FALSE,4.263893,Eutrophic (poor)
509,2013-2017,Wellington,Pastoral,Stratified,987.94,19.55,25693.44,,,2699060,5991553,0.03074,B,FALSE,4.884393,B,FALSE,1.45494,889.3034,D,750,TRUE,19.14645,B,FALSE,4.252949,Eutrophic (poor)
511,2013-2017,Wellington,Pastoral,Stratified,6181.88,53.09,373374.3,,,2700009,5991655,0.020196,A,FALSE,5.623425,C,FALSE,1.460139,873.3247,D,750,TRUE,29.2062,C,FALSE,4.300322,Eutrophic (poor)
512,2013-2017,Wellington,Pastoral,Stratified,1239.56,22.12,53291.13,,,2698970,5992168,0.010959,A,FALSE,5.147288,C,FALSE,1.247431,830.4343,D,750,TRUE,21.47309,C,FALSE,4.208417,Eutrophic (poor)
515,2013-2017,Wellington,Pastoral,Stratified,6227.38,53.31,582250.3,,,2699928,5992856,0.020881,A,FALSE,5.784995,C,FALSE,1.244131,867.6375,D,750,TRUE,23.58358,C,FALSE,4.292424,Eutrophic (poor)
524,2013-2017,Wellington,Exotic forest,Stratified,965.35,19.3,29692.63,,,2717602,5974804,0.0073,A,FALSE,11.42896,C,FALSE,2.507513,616.1927,C,750,FALSE,23.74009,C,FALSE,4.418273,Eutrophic (poor)
583,2013-2017,Wellington,Exotic forest,Polymictic,420.62,12.27,12644.5,,,2719182,5981027,0.007446,A,FALSE,7.499336,C,FALSE,2.16712,486.3901,B,800,FALSE,18.38063,B,FALSE,4.137125,Eutrophic (poor)
656,2013-2017,Wellington,Pastoral,Stratified,828.37,17.76,21245.38,,,2703557,5989410,0.013298,A,FALSE,13.79638,D,TRUE,1.395966,759.9335,D,750,TRUE,30.34523,C,FALSE,4.453071,Eutrophic (poor)
664,2013-2017,Wellington,Pastoral,Stratified,694.43,16.13,23412.94,,,2704537,5990203,0.015344,A,FALSE,4.907516,B,FALSE,1.453854,827.6008,D,750,TRUE,19.05901,B,FALSE,4.169448,Eutrophic (poor)
667,2013-2017,Wellington,Pastoral,Stratified,2814.7,34.58,35993.56,,,2701864,5990960,0.021163,A,FALSE,5.890339,C,FALSE,1.422532,907.7878,D,750,TRUE,30.0382,C,FALSE,4.28531,Eutrophic (poor)
671,2013-2017,Wellington,Pastoral,Stratified,2331.42,31.21,43505.81,,,2706555,5991820,0.034845,B,FALSE,4.921722,B,FALSE,1.485262,962.6584,D,750,TRUE,19.35412,B,FALSE,4.272304,Eutrophic (poor)
672,2013-2017,Wellington,Pastoral,Stratified,1383.93,23.49,33764.38,,,2705424,5992835,0.019007,A,FALSE,5.076669,C,FALSE,1.490617,872.9668,D,750,TRUE,29.17326,C,FALSE,4.244588,Eutrophic (poor)
690,2013-2017,Wellington,Pastoral,Stratified,1198.85,21.72,24606.06,,,2708031,5990344,0.030687,B,FALSE,4.209691,B,FALSE,1.654697,904.7778,D,750,TRUE,18.21279,B,FALSE,4.244746,Eutrophic (poor)
791,2013-2017,Wellington,Pastoral,Polymictic,436.89,12.53,11984.88,,,2745346,6037507,0.008955,A,FALSE,5.685788,C,FALSE,2.422159,529.714,C,800,FALSE,23.04449,C,FALSE,4.254329,Eutrophic (poor)
831,2013-2017,Wellington,Pastoral,Polymictic,3736.04,7.5,157779.3,345,Lake WAITAWA,2693517,6051259,0.021718,A,FALSE,7.742924,C,FALSE,1.975957,740.3647,C,800,FALSE,23.55405,C,FALSE,4.368699,Eutrophic (poor)
841,2013-2017,Wellington,Pastoral,Stratified,1026.38,19.96,58481.63,,,2691048,6052727,0.013242,A,FALSE,5.043048,C,FALSE,1.522809,734.0788,C,750,FALSE,22.60703,C,FALSE,4.364064,Eutrophic (poor)
855,2013-2017,Manawatū-Whanganui,Pastoral,Polymictic,438.27,12.55,12135.75,,,2692601,6056874,0.018254,A,FALSE,4.903352,B,FALSE,1.543495,1230.003,D,800,TRUE,21.98107,C,FALSE,4.840063,Eutrophic (poor)
856,2013-2017,Manawatū-Whanganui,Pastoral,Polymictic,602.88,14.93,16192.13,,,2692503,6057173,0.018488,A,FALSE,4.680153,B,FALSE,1.543495,1250.848,D,800,TRUE,20.49943,C,FALSE,4.812032,Eutrophic (poor)
869,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,909.3,18.68,53105.13,,,2701372,6084470,0.017624,A,FALSE,4.285757,B,FALSE,1.719918,1090.352,D,750,TRUE,32.24324,C,FALSE,4.608433,Eutrophic (poor)
870,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,947.46,19.1,36958,,,2701786,6086557,0.016929,A,FALSE,4.42773,B,FALSE,1.717185,1096.127,D,750,TRUE,34.0124,C,FALSE,4.566556,Eutrophic (poor)
871,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,1105.72,20.78,39709.06,,,2701736,6086939,0.01685,A,FALSE,4.417435,B,FALSE,1.717185,1097.03,D,750,TRUE,34.08493,C,FALSE,4.568873,Eutrophic (poor)
877,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,691.64,16.09,23831.25,,,2712108,6081766,0.017873,A,FALSE,4.665899,B,FALSE,1.874046,1096.293,D,750,TRUE,24.35716,C,FALSE,4.617235,Eutrophic (poor)
885,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,1159.98,21.33,36134.56,,,2712930,6076827,0.034905,B,FALSE,4.35662,B,FALSE,1.737518,1111.121,D,750,TRUE,21.68189,C,FALSE,4.558123,Eutrophic (poor)
886,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,1020.62,19.9,21715.81,,,2714169,6079420,0.035002,B,FALSE,4.227558,B,FALSE,1.715373,1114.677,D,750,TRUE,19.99927,B,FALSE,4.55536,Eutrophic (poor)
1416,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,786.44,17.26,13508.63,,,2750548,6052721,0.009303,A,FALSE,7.210084,C,FALSE,2.035061,522.5113,C,750,FALSE,22.62937,C,FALSE,4.274612,Eutrophic (poor)
1420,2013-2017,Manawatū-Whanganui,Pastoral,Stratified,1008.18,19.76,12841.75,,,2748214,6056548,0.009841,A,FALSE,7.243811,C,FALSE,2.015325,501.5397,C,750,FALSE,23.31281,C,FALSE,4.250253,Eutrophic (poor)
1491,2013-2017,Otago,Pastoral,Stratified,850.64,18.01,35721.63,,,2222757,5508000,0.018478,A,FALSE,4.583288,B,FALSE,2.97576,717.3211,C,750,FALSE,35.30202,C,FALSE,4.527043,Eutrophic (poor)
1492,2013-2017,Otago,Pastoral,Polymictic,417.21,12.22,10963.56,,,2222742,5508416,0.018114,A,FALSE,4.085613,B,FALSE,3.045501,771.1013,C,800,FALSE,31.5271,C,FALSE,4.455457,Eutrophic (poor)
1509,2013-2017,Otago,Pastoral,Polymictic,443.62,12.63,11659.31,,,2223691,5512218,0.010437,A,FALSE,3.915377,B,FALSE,3.672314,483.0328,B,800,FALSE,23.37575,C,FALSE,4.091805,Eutrophic (poor)
1548,2013-2017,Otago,Exotic forest,Stratified,896.6,18.54,28341.5,,,2237409,5509396,0.008043,A,FALSE,2.486151,B,FALSE,8.394425,307.3017,B,750,FALSE,15.98938,B,FALSE,3.463986,Mesotrophic (average)
1553,2013-2017,Otago,Native,Stratified,36041.55,138.76,11600000,861,Lake ONSLOW,2246837,5512083,0.009728,A,FALSE,1.656535,A,FALSE,8.357983,190.1697,B,750,FALSE,16.24108,B,FALSE,3.245532,Mesotrophic (average)
1566,2013-2017,Otago,Native,Polymictic,489.57,13.33,13167.81,,,2249165,5520880,0.008104,A,FALSE,3.267886,B,FALSE,8.274973,347.4688,B,800,FALSE,17.10125,B,FALSE,3.590579,Mesotrophic (average)
1682,2013-2017,Wellington,Pastoral,Stratified,687.8,16.04,18489.44,,,2748691,5988443,0.009321,A,FALSE,6.36233,C,FALSE,2.349774,443.4096,C,750,FALSE,19.40912,B,FALSE,4.118167,Eutrophic (poor)
1708,2013-2017,Wellington,Pastoral,Polymictic,84741.18,2.5,77400000,,,2697717,5996166,0.008101,A,FALSE,15.45886,D,TRUE,0.968909,603.577,C,800,FALSE,40.59785,C,FALSE,4.305918,Eutrophic (poor)
1717,2013-2017,Wellington,Pastoral,Stratified,1871.29,27.68,51479.81,,,2701235,5994193,0.032611,B,FALSE,5.238525,C,FALSE,1.431795,965.8313,D,750,TRUE,20.32801,C,FALSE,4.304094,Eutrophic (poor)
1720,2013-2017,Wellington,Pastoral,Stratified,678.84,15.93,11834.94,,,2702567,5995596,0.022831,A,FALSE,4.930451,B,FALSE,1.455431,903.193,D,750,TRUE,19.33126,B,FALSE,4.251774,Eutrophic (poor)
1721,2013-2017,Wellington,Pastoral,Stratified,2131.5,29.72,50480.56,,,2702995,5995248,0.026044,A,FALSE,5.249115,C,FALSE,1.455431,976.2197,D,750,TRUE,22.0574,C,FALSE,4.288959,Eutrophic (poor)
1726,2013-2017,Wellington,Pastoral,Stratified,4145.35,42.7,99828.69,,,2704118,5996011,0.018739,A,FALSE,5.381429,C,FALSE,1.444726,962.562,D,750,TRUE,26.45508,C,FALSE,4.221573,Eutrophic (poor)
1729,2013-2017,Wellington,Native,Stratified,750.25,16.82,11774.94,,,2703312,5997176,0.03124,B,FALSE,5.044619,C,FALSE,1.417031,963.7375,D,750,TRUE,19.84751,B,FALSE,4.276251,Eutrophic (poor)
1730,2013-2017,Wellington,Native,Stratified,884.65,18.4,24905,,,2703259,5997421,0.030863,B,FALSE,4.903809,B,FALSE,1.402584,963.9727,D,750,TRUE,19.23375,B,FALSE,4.271116,Eutrophic (poor)
1731,2013-2017,Wellington,Native,Stratified,1999.24,28.7,120781.1,,,2703610,5997208,0.036161,B,FALSE,5.391158,C,FALSE,1.446015,1023.937,D,750,TRUE,20.73976,C,FALSE,4.332554,Eutrophic (poor)
1735,2013-2017,Wellington,Native,Stratified,634.23,15.35,13349.06,,,2703306,5997741,0.03116,B,FALSE,4.8542,B,FALSE,1.402584,965.5209,D,750,TRUE,19.01535,B,FALSE,4.269795,Eutrophic (poor)
